32: [158.47, 112.30, 118.46, 94.56, 177.62, 655.73, 102.63, 583.70, 44.26, 24.47, 177.33, 355.72, 48.89, 80.87, 121.99, 63.43]
33: [62.53, 115.73, 157.38, 56.23, 103.03, 2073.28, 203.46, 286.84, 462.50, 40.16, 43.02, 53.59, 44.75, 23.18, 26.23, 27.75]
34: [122.18, 66.29, 164.66, 59.96, 176.91, 2476.66, 192.38, 72.54, 120.54, 62.93, 76.06, 24.84, 37.98, 21.55, 87.04, 69.62]
35: [25.85, 63.54, 137.24, 40.25, 158.51, 1606.13, 286.14, 364.11, 57.76, 7.77, 23.84, 42.99, 30.88, 26.83, 23.35, 34.33]
36: [24.05, 84.46, 47.46, 65.85, 449.40, 607.47, 305.45, 383.72, 70.57, 19.15, 36.87, 11.43, 42.56, 45.51, 31.94, 49.89]
37: [16.06, 128.55, 112.76, 78.27, 45.27, 1108.93, 216.56, 62.98, 110.69, 43.10, 33.06, 30.67, 26.51, 20.77, 34.94, 26.79]
38: [43.18, 229.21, 272.68, 26.47, 180.18, 2050.03, 324.61, 373.26, 179.92, 77.98, 16.19, 12.68, 16.71, 9.79, 16.73, 41.37]
39: [47.36, 60.19, 146.63, 32.44, 290.47, 2024.53, 329.78, 416.83, 176.92, 104.56, 51.18, 39.92, 33.70, 21.15, 35.46, 30.98]
40: [13.12, 25.26, 146.58, 35.13, 243.37, 1079.23, 349.25, 134.09, 163.56, 73.31, 16.46, 42.23, 28.56, 12.92, 17.49, 44.63]
41: [16.11, 9.91, 46.74, 20.65, 70.10, 381.12, 204.42, 297.44, 131.88, 53.48, 17.99, 20.90, 35.77, 19.36, 24.95, 25.56]
42: [6.79, 26.62, 24.94, 59.96, 144.83, 1581.51, 149.65, 391.82, 71.99, 38.74, 39.64, 8.08, 11.86, 39.56, 16.87, 38.00]
43: [79.51, 46.02, 71.74, 19.91, 223.52, 2004.97, 198.79, 140.54, 30.13, 30.24, 17.57, 42.20, 25.69, 22.19, 16.29, 35.81]
44: [18.27, 39.78, 52.64, 12.14, 206.37, 1534.50, 150.19, 239.98, 92.64, 32.51, 36.25, 32.33, 16.97, 18.59, 17.50, 22.37]
45: [40.06, 37.89, 41.31, 29.40, 87.13, 364.98, 127.96, 375.34, 139.22, 45.46, 23.11, 20.70, 25.02, 36.80, 9.62, 52.99]
46: [69.94, 22.30, 68.42, 7.33, 113.95, 874.50, 153.14, 166.87, 147.76, 88.30, 38.39, 14.69, 32.10, 6.99, 23.50, 19.59]
47: [57.80, 9.68, 64.27, 21.61, 215.14, 1671.80, 364.20, 211.19, 146.86, 68.53, 25.87, 19.36, 18.20, 16.90, 9.57, 26.36]
48: [10.91, 5.87, 33.19, 31.20, 228.66, 1662.36, 246.97, 421.98, 111.69, 77.67, 12.49, 7.57, 24.20, 32.56, 17.54, 11.69]
49: [25.38, 17.90, 59.08, 14.71, 98.96, 873.51, 249.90, 262.13, 46.63, 125.30, 29.56, 26.10, 49.64, 14.04, 33.31, 64.61]
50: [120.24, 6.96, 28.52, 24.71, 119.20, 320.46, 325.86, 125.97, 43.16, 20.51, 28.90, 13.71, 25.62, 9.57, 9.77, 36.55]
51: [70.52, 23.85, 46.81, 36.15, 231.47, 1350.91, 309.03, 300.45, 63.91, 58.98, 34.54, 11.73, 42.57, 9.81, 19.80, 41.01]
52: [31.15, 19.69, 23.89, 42.79, 226.35, 1691.17, 443.14, 202.66, 92.71, 42.54, 21.15, 20.84, 16.34, 27.75, 4.55, 27.90]
53: [90.29, 37.01, 28.49, 57.50, 105.99, 1286.14, 271.26, 143.13, 107.92, 32.81, 30.99, 22.88, 1.22, 13.72, 8.64, 46.49]
54: [73.72, 6.43, 65.41, 15.83, 57.68, 303.85, 363.58, 321.57, 129.68, 45.91, 34.77, 16.75, 26.20, 10.22, 20.44, 26.78]
55: [61.75, 31.91, 46.57, 27.24, 179.51, 833.42, 390.49, 198.38, 91.49, 48.81, 44.70, 33.39, 19.34, 5.36, 17.20, 25.02]
56: [18.67, 34.47, 18.06, 19.09, 211.71, 1559.45, 358.21, 101.82, 73.27, 54.30, 43.02, 39.08, 12.56, 22.51, 27.02, 34.69]
57: [52.50, 32.59, 20.60, 46.32, 137.16, 1528.17, 354.25, 322.35, 36.91, 22.78, 25.31, 15.25, 26.26, 10.84, 26.18, 35.66]
58: [81.82, 25.49, 43.35, 21.38, 24.53, 811.16, 217.97, 286.29, 81.76, 48.20, 24.11, 16.86, 8.64, 21.88, 38.19, 53.37]
59: [77.33, 12.53, 31.54, 79.29, 151.67, 279.72, 249.26, 41.73, 133.21, 89.23, 38.43, 3.10, 18.75, 38.95, 20.46, 66.94]
60: [27.88, 20.57, 19.87, 29.40, 186.57, 1247.97, 277.27, 252.38, 123.29, 38.63, 50.45, 17.31, 30.54, 4.44, 29.06, 32.71]
61: [30.50, 18.51, 51.03, 43.11, 160.34, 1579.76, 195.45, 248.49, 160.09, 37.03, 22.20, 34.94, 24.15, 17.99, 20.59, 31.78]
62: [56.53, 37.44, 51.70, 78.20, 53.68, 1224.05, 313.20, 86.74, 132.11, 33.79, 59.91, 11.22, 14.36, 19.55, 41.30, 56.32]
63: [108.50, 10.86, 51.77, 50.41, 95.70, 311.54, 286.97, 312.84, 79.55, 93.27, 25.97, 21.37, 39.01, 42.58, 50.60, 23.48]
64: [59.97, 20.10, 33.89, 76.29, 164.24, 749.74, 297.45, 288.89, 40.58, 53.82, 27.04, 53.32, 15.41, 9.76, 10.81, 53.69]
65: [84.41, 23.22, 6.78, 33.18, 139.71, 1430.60, 332.50, 54.83, 59.31, 62.76, 8.34, 15.41, 40.30, 29.35, 14.20, 61.76]
