33: [69.69, 14.70, 12.52, 50.63, 5.75, 57.71, 52.40, 66.64, 9.11, 38.00, 57.21, 58.18, 22.04, 41.64, 57.67, 19.08]
34: [52.83, 24.09, 26.56, 46.31, 33.61, 17.69, 44.00, 7.56, 50.43, 15.99, 16.45, 44.71, 34.69, 17.43, 13.42, 23.12]
35: [84.88, 43.33, 4.58, 37.42, 18.15, 9.35, 36.18, 25.53, 39.28, 55.79, 30.75, 9.29, 13.32, 16.55, 24.01, 12.94]
36: [70.30, 29.38, 51.28, 15.52, 12.73, 41.47, 53.28, 37.78, 30.73, 30.85, 30.01, 27.96, 32.55, 29.50, 41.65, 16.34]
37: [55.37, 15.52, 71.24, 29.26, 32.12, 12.01, 34.12, 2.51, 33.63, 22.47, 31.08, 20.65, 31.47, 31.53, 18.95, 23.68]
38: [100.26, 14.26, 31.82, 27.19, 56.40, 17.10, 33.55, 33.08, 27.16, 28.44, 36.02, 14.50, 41.84, 9.49, 20.99, 12.30]
39: [63.01, 39.80, 22.45, 56.06, 19.56, 15.76, 67.45, 31.07, 51.87, 18.66, 18.16, 10.09, 43.30, 32.52, 28.56, 14.50]
40: [81.47, 16.21, 61.12, 33.36, 37.73, 49.74, 38.67, 8.49, 35.50, 40.46, 48.44, 43.63, 21.41, 19.47, 9.36, 31.26]
41: [73.41, 34.31, 16.32, 54.06, 20.46, 20.42, 38.05, 29.87, 5.23, 48.07, 47.43, 43.41, 11.01, 37.89, 62.25, 19.92]
42: [80.89, 11.53, 40.71, 15.76, 44.83, 32.61, 7.35, 39.45, 6.01, 38.01, 60.55, 10.41, 22.13, 25.95, 32.16, 40.72]
43: [38.43, 67.71, 34.28, 41.14, 36.82, 43.97, 34.08, 24.80, 14.97, 7.00, 45.80, 17.90, 6.42, 25.07, 14.95, 15.27]
44: [80.43, 37.88, 31.99, 34.31, 41.28, 17.94, 32.57, 19.58, 52.27, 54.56, 11.49, 43.34, 45.31, 33.89, 10.09, 14.90]
45: [162.04, 32.73, 34.08, 18.79, 20.62, 16.61, 38.75, 5.50, 30.96, 77.94, 17.51, 33.13, 10.44, 19.10, 28.37, 48.25]
46: [186.77, 2.91, 32.42, 33.42, 17.46, 30.01, 65.57, 21.91, 37.54, 34.32, 10.85, 67.30, 23.88, 22.66, 14.87, 49.03]
47: [185.36, 8.22, 17.99, 33.05, 25.68, 76.79, 19.94, 48.30, 61.27, 11.98, 69.75, 57.51, 42.91, 16.20, 25.49, 29.35]
48: [173.41, 37.44, 47.72, 23.08, 21.07, 55.86, 27.65, 46.90, 57.06, 50.29, 7.18, 16.90, 13.98, 30.11, 33.10, 27.32]
49: [95.81, 29.68, 75.86, 43.03, 46.28, 30.39, 20.29, 30.61, 18.56, 3.36, 43.11, 30.37, 45.49, 44.98, 51.24, 37.64]
50: [130.73, 43.26, 16.07, 20.50, 24.04, 38.55, 32.95, 26.47, 10.86, 50.12, 47.77, 32.67, 19.30, 14.97, 41.84, 46.65]
51: [82.40, 27.24, 26.69, 15.60, 52.69, 9.64, 10.86, 11.19, 46.40, 58.56, 28.92, 22.25, 31.24, 51.96, 44.35, 20.55]
52: [179.45, 45.53, 44.33, 39.56, 28.88, 54.26, 20.17, 42.10, 6.66, 44.73, 62.58, 39.30, 13.21, 15.22, 13.57, 22.13]
53: [66.55, 50.41, 44.59, 41.81, 35.33, 53.36, 60.07, 66.67, 14.01, 26.99, 47.97, 50.76, 47.54, 27.10, 15.23, 44.17]
54: [51.03, 5.86, 40.98, 32.54, 73.06, 48.37, 27.08, 32.30, 7.47, 36.34, 24.59, 26.53, 38.73, 41.92, 44.69, 32.47]
55: [49.56, 66.18, 20.13, 43.32, 40.14, 21.24, 17.56, 33.06, 24.59, 61.11, 13.68, 65.68, 65.14, 9.00, 6.41, 28.25]
56: [24.02, 51.91, 15.45, 50.71, 19.89, 48.02, 23.34, 51.69, 66.65, 20.94, 14.39, 32.32, 75.95, 28.80, 23.13, 54.96]
57: [150.75, 14.97, 58.59, 50.28, 13.97, 77.18, 8.20, 28.73, 24.72, 25.72, 25.68, 29.24, 49.25, 42.50, 48.39, 29.02]
58: [76.90, 33.98, 14.46, 9.76, 50.46, 56.80, 42.22, 19.32, 47.68, 48.96, 35.77, 25.90, 12.64, 10.54, 12.41, 34.28]
59: [96.55, 14.25, 26.01, 10.88, 18.88, 51.81, 28.55, 28.27, 36.50, 7.67, 32.25, 21.02, 46.08, 48.23, 27.29, 20.79]
60: [25.88, 28.14, 18.10, 22.30, 62.07, 34.60, 28.25, 25.02, 3.50, 32.81, 17.69, 28.59, 17.20, 23.79, 10.58, 41.87]
61: [66.28, 31.94, 20.60, 7.15, 14.63, 26.26, 61.20, 31.08, 67.59, 62.79, 51.87, 14.32, 39.42, 7.34, 8.93, 40.17]
62: [70.04, 16.11, 13.50, 23.06, 25.94, 34.97, 30.78, 27.60, 38.70, 22.12, 33.09, 16.82, 83.10, 58.97, 46.05, 39.14]
63: [124.36, 56.23, 51.12, 52.69, 17.61, 26.38, 21.15, 4.93, 56.49, 18.29, 12.21, 19.46, 17.41, 56.67, 21.26, 24.79]
64: [87.69, 26.78, 34.92, 70.71, 9.83, 41.24, 97.03, 68.65, 64.20, 35.78, 106.41, 49.17, 31.91, 70.33, 18.01, 39.56]
65: [77.70, 41.42, 43.27, 34.34, 8.76, 13.30, 92.34, 37.43, 64.79, 23.21, 39.17, 49.62, 12.91, 30.34, 58.13, 46.96]
66: [62.61, 27.81, 18.33, 51.07, 69.12, 72.79, 25.83, 26.67, 58.08, 65.72, 9.27, 32.49, 28.88, 64.97, 59.01, 85.28]
67: [158.90, 47.15, 49.54, 37.00, 17.54, 37.92, 30.82, 27.56, 46.20, 51.32, 70.99, 47.18, 43.42, 60.67, 26.24, 16.08]
68: [97.79, 54.13, 19.04, 28.18, 28.26, 13.63, 37.33, 44.09, 10.86, 45.17, 20.13, 33.09, 82.36, 57.26, 90.08, 28.90]
